구,법정동,아파트명,r_c,n,last_ym,r_dong,입지가치지수,avg_price_per_sqm,median_amount,lat,lon,subway_dist_km,nearest_station,commute_minutes,pred_idx,final_resid,deviation_pct,zone,extreme_deviation,blue_candidate_lowconf,confidence
중구,만리동2가,서울역한라비발디센트럴,0.20549645237866448,13,202602,0.34575450126315893,0.2444570215132463,1992.5275199185548,150000.0,37.555319943980145,126.96575945907351,0.4156165475883465,서울 공항철도,36,-0.08463800903171759,0.3290950305449639,32.9,Red,False,False,높음
마포구,신공덕동,신공덕e편한세상,0.27490319116285644,13,202601,0.3144481359855028,0.285887898058036,1804.3013086522628,135000.0,37.54194539356191,126.95709692971701,0.4793434638202804,효창공원앞,36,-0.09493751221186963,0.38082541026990563,38.1,Red,False,False,높음
양천구,신정동,이펜하우스4단지,-0.33491101270457563,13,202602,0.16383872304343677,-0.1963694194412388,1001.4604847635727,78400.0,37.51075323973607,126.82982553798782,1.7064790716436506,까치울,48,-0.5198695829707043,0.3235001635294655,32.4,Red,False,False,높음
종로구,무악동,경희궁롯데캐슬,0.2065944433492672,13,202603,0.14852703160546746,0.19046460675376728,2180.242717327288,175000.0,37.573420748306795,126.95941081090396,1.2861717016195495,경복궁,39,-0.28198737358019255,0.47245198033395985,47.2,Red,False,False,높음
은평구,진관동,은평뉴타운기자촌11단지,-0.407841403789264,13,202602,-0.2781581932205469,-0.3718182897423981,1009.392648603258,80800.0,37.63423939885545,126.93360138955462,1.3214752058226331,구파발,61,-0.7031323100504954,0.33131402030809726,33.1,Red,False,False,높음
관악구,봉천동,서울대입구아이원(1560-61),-0.04162980986140797,13,202602,-0.11290084667273516,-0.061427320086776635,1266.6375357652385,105000.0,37.4750064,126.9571404,0.6092350740684154,낙성대,36,-0.11593051064846016,0.054503190561683526,5.5,Gray,False,False,높음
중랑구,상봉동,프레미어스엠코,-0.28264660519827256,13,202602,-0.33270133189221357,-0.2965506959465895,1156.5462290339974,119500.0,37.59810095027223,127.09051333411745,0.21056944918526785,망우 경의중앙선,32,0.024035972267334116,-0.3205866682139236,-32.1,Blue,False,False,높음
은평구,진관동,은평뉴타운엘크루,-0.3970300549317389,13,202603,-0.2781581932205469,-0.36401009334529666,1168.979403390874,70500.0,37.63949493539601,126.91929476460427,0.34238027962393264,구파발,61,-0.5448916183253101,0.18088152498001342,18.1,Gray,False,False,높음
송파구,오금동,삼성,0.07156936313303948,13,202601,0.16311633380564142,0.09699907720876223,1372.9930249577021,107000.0,37.49645357187345,127.1390619569052,0.5416672724620016,거여,23,0.14047655799888514,-0.04347748079012291,-4.3,Gray,False,False,높음
송파구,오금동,송파더플래티넘,0.00835320568790748,13,202603,0.16311633380564142,0.05134296349838913,2004.5391396931068,133500.0,37.50283517879644,127.13615257882498,0.6789810669181195,오금,23,0.11828399092828801,-0.06694102742989888,-6.7,Gray,False,False,높음
강서구,방화동,신동아,-0.3056888913982415,13,202603,-0.22674360477215127,-0.28375964511321644,980.7654515825723,60000.0,37.570101055240734,126.81595773739299,0.31174176119300434,신방화,47,-0.27556943634208786,-0.008190208771128582,-0.8,Gray,False,False,높음
동대문구,휘경동,롯데,-0.26397656823375915,13,202602,-0.24273613895003332,-0.25807644898827975,1007.8870506391231,70000.0,37.59107649970664,127.06336198722678,0.44403396425577213,회기 경춘선,26,0.09960518949070685,-0.3576816384789866,-35.8,Blue,False,False,높음
강남구,대치동,동부센트레빌,1.0071868340930465,13,202602,0.8018113527857463,0.9501380892854632,4056.980373249803,600000.0,37.49279568772742,127.05577609518149,0.14256120603863956,도곡 수인분당선,9,0.46935022790471215,0.480787861380751,48.1,Red,False,False,높음
강남구,대치동,래미안대치팰리스,0.9294713871579201,13,202603,0.8018113527857463,0.8940102664989831,4294.411098930749,615000.0,37.49440021218252,127.05799820242991,0.4000215839263865,도곡 수인분당선,9,0.42773964735869807,0.466270619140285,46.6,Red,False,False,높음
중랑구,묵동,신안1,-0.3589359225238185,13,202603,-0.35271380280027487,-0.3572075559339452,908.7797690723962,59000.0,37.61232391554774,127.0806554769615,0.3176080108449077,먹골,34,-0.031030731789339683,-0.3261768241446055,-32.6,Blue,False,False,높음
강남구,논현동,동부센트레빌,0.6467519089157238,12,202603,0.46132096781213755,0.5922133968264337,2397.0979314806405,225000.0,37.51035805232716,127.03765047385484,0.46723141754008063,언주,15,0.3035756354461827,0.288637761380251,28.9,Red,False,False,높음
양천구,목동,현대I-PARK,0.2918793266130113,12,202512,0.36295510837289174,0.3127839683070938,1698.6062495048684,129000.0,37.5212341967261,126.873222317439,0.41042453385314553,오목교,39,-0.14044968004749814,0.45323364835459196,45.3,Red,False,False,높음
강남구,개포동,현대2,0.6712765511653735,12,202511,0.8305704439590634,0.7181276961046941,2975.8299567605504,381000.0,37.4883357291503,127.06117988298959,0.2081277635858838,구룡 수인분당선,12,0.40210260214581856,0.3160250939588755,31.6,Red,False,False,높음
강서구,마곡동,마곡엠밸리5단지,0.11622810244708844,12,202602,0.049704657161385495,0.0966623832454111,1630.710725114595,156500.0,37.5659306274417,126.817878629558,0.1820989402150057,신방화,43,-0.17908224582246346,0.27574462906787456,27.6,Gray,False,False,높음
영등포구,양평동4가,삼호한숲,0.09451047597786588,12,202602,-0.0011388629918986548,0.0663783174573469,1496.7563139400265,91850.0,37.536946219794636,126.89367729043676,0.13817554483936137,선유도,32,0.035736228487493804,0.0306420889698531,3.1,Gray,False,False,높음
강동구,강일동,강일리버파크3단지,0.047225796726348745,12,202603,-0.09213056986101283,0.0062386300830071075,1475.7596939604643,107000.0,37.56659797268128,127.17456076561342,1.0246409313820133,강일,23,0.06241866613617497,-0.05618003605316786,-5.6,Gray,False,False,높음
동대문구,제기동,현대,-0.22218301323730327,12,202602,-0.2038829200759024,-0.21680063289571477,982.120872151551,77750.0,37.58018968077222,127.03575196991646,0.7911011271155292,청량리,36,-0.14532358507407928,-0.0714770478216355,-7.1,Gray,False,False,높음
서대문구,홍은동,풍림1차,-0.5528256049905381,12,202603,-0.39441654900378864,-0.5062347061709059,768.6987997103674,44750.0,37.59490218765812,126.94204730979942,0.7040512926881731,홍제,50,-0.3956250512247763,-0.11060965494612962,-11.1,Gray,False,False,높음
노원구,공릉동,노원프레미어스엠코,-0.4831412228881331,12,202603,-0.29973352934934877,-0.4291977836120201,1037.635534954711,85500.0,37.61821231734908,127.07591249336673,0.05245106798353284,태릉입구,28,0.12512536450049472,-0.5543231481125148,-55.4,Blue,False,False,높음
동대문구,제기동,이수브라운스톤,-0.19902702769542432,12,202603,-0.2038829200759024,-0.20045523133674137,1047.4225118251873,84750.0,37.582251539133956,127.03445778868215,0.6444556857492043,안암,36,-0.12162284323667039,-0.07883238810007098,-7.9,Gray,False,False,높음
중랑구,면목동,용마산하늘채,-0.1814224396235716,12,202603,-0.3450237621973327,-0.2295404756746778,1246.174488337105,91750.0,37.5726234588525,127.08707745573562,0.12034544950908593,용마산,25,0.17080311919574614,-0.4003435948704239,-40.0,Blue,False,False,높음
중랑구,면목동,두산3,-0.3396625728326194,12,202603,-0.3450237621973327,-0.34123939323400565,873.1469466399277,74100.0,37.57972979868294,127.0830509242448,0.49908004023884384,사가정,25,0.10959227843486852,-0.45083167166887417,-45.1,Blue,False,False,높음
송파구,가락동,한신1,0.28725705613569413,12,202602,0.34098738251185506,0.3030600933051532,1664.854434492968,136000.0,37.4947008,127.1191293,0.19380057270046164,가락시장,16,0.32888375226952754,-0.02582365896437433,-2.6,Gray,False,False,높음
광진구,자양동,이튼타워리버1차,0.322493462066702,12,202510,0.22668519296788042,0.294314559390578,1848.7398030740094,153750.0,37.5369122579029,127.06967942251943,0.3909193999117804,건대입구,14,0.3347927349241205,-0.04047817553354249,-4.0,Gray,False,False,높음
동대문구,휘경동,동양1차,-0.24829310201249558,12,202603,-0.24273613895003332,-0.2466587011117714,1014.0213186556899,67350.0,37.59258415766906,127.06769316355307,0.5409188579866008,외대앞,26,0.0839467153310971,-0.3306054164428685,-33.1,Blue,False,False,높음
동작구,노량진동,쌍용예가,0.3277656669233077,12,202602,0.13900498385215174,0.272247818961203,1998.5829901265067,147000.0,37.50999382113499,126.94366481477252,0.46827405295483043,노량진,28,0.057920321336236924,0.21432749762496606,21.4,Gray,False,False,높음
동대문구,청량리동,현대,-0.49165825913181704,12,202602,-0.34048354219056665,-0.4471951070902728,841.5037707979436,82650.0,37.5815057510316,127.044528854349,0.1642443450323653,청량리,28,0.10705740702561106,-0.5542525141158838,-55.4,Blue,False,False,높음
송파구,가락동,강남팰리스,-0.44229645889125807,12,202603,0.34098738251185506,-0.21191885847857772,1281.3151202782253,72000.0,37.496935638488736,127.12190560621363,0.24977630446982427,경찰병원,16,0.31983699053275005,-0.5317558490113278,-53.2,Blue,False,False,높음
노원구,공릉동,신도1차아파트,-0.24880707933790358,12,202602,-0.29973352934934877,-0.2637854469883287,943.056801981108,78250.0,37.6277427493005,127.070439294666,0.3347262133126832,공릉,28,0.07950423721395927,-0.34328968420228795,-34.3,Blue,False,False,높음
송파구,가락동,동부센트레빌,0.111747292883557,12,202602,0.34098738251185506,0.17917084865658583,1495.9058120305433,193500.0,37.49789096114102,127.11628902795366,0.41433443294427796,송파,16,0.29324121173538875,-0.11407036307880292,-11.4,Gray,False,False,높음
영등포구,당산동3가,당산계룡리슈빌1단지,0.24589873562501072,12,202603,0.10322305532210625,0.2039353002418035,1792.7218180872098,73600.0,37.5250506830267,126.899248728953,0.24277233028897485,영등포구청,32,0.01883136335246749,0.18510393688933602,18.5,Gray,False,False,높음
